City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,20.86,99,19,2.47,EC,2024-07-03
1,uturoa,-16.7333,-151.4333,25.84,75,38,10.64,PF,2024-07-03
2,adamstown,-25.066,-130.1015,20.6,62,100,6.11,PN,2024-07-03
3,ushuaia,-54.8,-68.3,1.81,80,75,6.69,AR,2024-07-03
4,ilulissat,69.2167,-51.1,3.01,100,100,0.51,GL,2024-07-03
5,saint-georges,12.0564,-61.7485,26.82,89,75,7.72,GD,2024-07-03
6,tiksi,71.6872,128.8694,4.3,76,100,3.85,RU,2024-07-03
7,albertina,-22.2008,-46.6158,13.05,63,0,2.51,BR,2024-07-03
8,aasiaat,68.7098,-52.8699,2.51,91,99,0.99,GL,2024-07-03
9,marsa alam,25.0757,34.8918,33.97,34,18,6.37,EG,2024-07-03
10,hithadhoo,-0.6,73.0833,28.56,74,97,1.25,MV,2024-07-03
11,hanting,36.7708,119.2108,35.09,33,25,3.51,CN,2024-07-03
12,enoch,37.7733,-113.0244,19.14,27,0,0.0,US,2024-07-03
13,ribeira grande,38.5167,-28.7,23.22,64,40,6.69,PT,2024-07-03
14,qoryooley,1.7878,44.53,30.34,50,97,9.11,SO,2024-07-03
15,grytviken,-54.2811,-36.5092,-5.05,77,7,1.77,GS,2024-07-03
16,masina,-4.3836,15.3914,25.19,78,40,5.14,CD,2024-07-03
17,sandnessjoen,66.0217,12.6316,13.29,87,75,3.09,NO,2024-07-03
18,enewetak,11.3474,162.3373,28.32,81,100,8.01,MH,2024-07-03
19,blackmans bay,-43.0167,147.3167,6.52,84,14,0.45,AU,2024-07-03
20,tukrah,32.5341,20.5791,27.55,70,58,6.4,LY,2024-07-03
21,albany,42.6001,-73.9662,16.13,91,71,1.09,US,2024-07-03
22,invercargill,-46.4,168.35,6.12,90,24,0.89,NZ,2024-07-03
23,nizwa,22.9333,57.5333,40.9,11,7,5.29,OM,2024-07-03
24,bovalino,38.149,16.174,28.94,60,6,1.84,IT,2024-07-03
25,kupang,-10.1667,123.5833,31.32,66,40,8.75,ID,2024-07-03
26,edinburgh of the seven seas,-37.0676,-12.3116,13.34,79,38,17.75,SH,2024-07-03
27,hami,42.8,93.45,29.57,29,80,3.62,CN,2024-07-03
28,waitangi,-43.9535,-176.5597,7.12,97,100,2.68,NZ,2024-07-03
29,buala,-8.145,159.5921,27.11,84,98,4.47,SB,2024-07-03
30,bredasdorp,-34.5322,20.0403,14.0,69,86,2.57,ZA,2024-07-03
31,oranjemund,-28.55,16.4333,15.02,71,4,0.98,NA,2024-07-03
32,hadibu,12.65,54.0333,29.85,61,61,13.5,YE,2024-07-03
33,ciudad lazaro cardenas,17.9583,-102.2,24.58,89,94,1.53,MX,2024-07-03
34,vadso,70.0744,29.7487,10.49,93,100,6.69,NO,2024-07-03
35,new plymouth,-39.0667,174.0833,9.34,100,9,5.39,NZ,2024-07-03
36,assare,-6.8744,-39.875,16.86,91,1,0.93,BR,2024-07-03
37,kabalo,-6.05,26.9167,32.25,21,88,3.07,CD,2024-07-03
38,yellowknife,62.456,-114.3525,14.29,82,100,3.09,CA,2024-07-03
39,yaren,-0.5472,166.916,29.27,69,100,3.48,NR,2024-07-03
40,puerto leguizamo,-0.1934,-74.7819,20.68,99,89,0.9,CO,2024-07-03
41,saipan,15.1355,145.701,31.39,66,40,5.14,MP,2024-07-03
42,avarua,-21.2078,-159.775,24.03,83,20,4.12,CK,2024-07-03
43,manggar,-2.8833,108.2667,27.66,84,72,4.64,ID,2024-07-03
44,georgetown,5.4112,100.3354,31.97,51,20,4.63,MY,2024-07-03
45,ouesso,1.6136,16.0517,32.59,45,74,1.22,CG,2024-07-03
46,jamestown,42.097,-79.2353,21.12,64,0,3.6,US,2024-07-03
47,macau,22.2006,113.5461,33.89,79,20,4.63,MO,2024-07-03
48,bogale,16.2833,95.4,25.22,93,100,3.91,MM,2024-07-03
49,puerto natales,-51.7236,-72.4875,-3.42,97,76,1.82,CL,2024-07-03
50,hermanus,-34.4187,19.2345,14.89,80,98,4.06,ZA,2024-07-03
51,palmer,42.1584,-72.3287,16.19,89,0,0.0,US,2024-07-03
52,hilo,19.7297,-155.09,22.92,91,20,2.57,US,2024-07-03
53,udachny,66.4167,112.4,16.51,32,17,7.8,RU,2024-07-03
54,port-aux-francais,-49.35,70.2167,0.98,54,31,6.61,TF,2024-07-03
55,manokwari,-0.8667,134.0833,27.61,80,44,3.2,ID,2024-07-03
56,tazovsky,67.4667,78.7,18.41,36,100,6.31,RU,2024-07-03
57,hamilton,39.1834,-84.5333,26.01,81,75,5.14,US,2024-07-03
58,emporia,38.4039,-96.1817,23.11,94,0,1.54,US,2024-07-03
59,crane,31.3974,-102.3501,27.32,46,67,8.86,US,2024-07-03
60,gizo,-8.103,156.8419,28.04,81,87,5.92,SB,2024-07-03
61,betare oya,5.6,14.0833,25.28,81,30,1.16,CM,2024-07-03
62,olyokminsk,60.3736,120.4264,27.95,41,83,4.39,RU,2024-07-03
63,iqaluit,63.7506,-68.5145,5.85,75,40,6.17,CA,2024-07-03
